DateTime,AddedIPs,RemovedIPs
1504659393,147,203
1504660340,202,180
1504661303,254,149
1504661480,37,0
1504662268,229,301
1504663252,174,225
1504664193,169,192
1504665137,170,99
1504666119,246,189
1504667083,219,238
1504668024,131,264
1504668988,159,253
1504669944,225,240
1504670906,297,163
1504671856,275,269
1504672280,56,0
1504672816,162,240
1504673796,154,211
1504674768,176,201
1504675711,209,174
1504675879,48,0
1504676668,242,207
1504677635,138,189
1504678602,175,242
1504679602,145,269
1504680507,312,249
1504681475,243,106
1504682447,197,260
1504683394,170,244
1504684337,228,251
1504685322,226,234
1504686272,210,123
1504686679,74,0
1504687229,89,237
1504688172,214,188
1504689172,186,209
1504690120,200,188
1504690280,89,0
1504691061,178,129
1504692033,184,240
1504693002,125,226
1504693960,184,204
1504694916,308,173
1504695864,178,161
1504696830,128,209
1504697815,246,238
1504698756,221,256
1504699931,247,180
1504700666,2,1
1504700914,220,134
1504701080,86,0
1504701855,247,134
1504702572,4,2
1504702846,221,190
1504703792,142,179
1504704489,2,0
1504704751,178,141
1504705696,370,140
1504706414,6,5
1504706677,298,203
1504707619,201,151
1504708444,11,4
1504708950,431,176
1504710069,241,299
1504710595,10,1
1504710998,90,12
1504711954,266,312
1504712430,4,1
1504712906,300,12
1504713878,265,330
1504715118,300,198
1504715479,62,0
1504716360,275,340
1504716990,3,4
1504717462,274,13
1504718440,186,206
1504718919,4,1
1504719397,210,155
1504720347,234,196
1504720841,3,3
1504721414,256,124
1504722499,288,194
1504722750,4,4
1504723458,335,192
1504724447,187,99
1504724904,2,7
1504725373,133,3
1504726359,254,272
1504726831,108,2
1504727299,268,21
1504728261,290,254
1504728745,6,1
1504729229,206,235
1504730184,266,156
1504730664,4,4
1504731146,239,375
1504732117,267,198
1504732602,5,4
1504733052,261,28
1504733479,42,0
1504734024,206,351
1504734515,84,42
1504734981,278,14
1504735950,211,369
1504736638,5,4
1504736917,262,9
1504737080,33,0
1504737854,271,222
1504738583,1,2
1504738826,226,242
1504739799,166,171
1504740501,7,5
1504740739,173,125
1504741705,353,170
1504742415,1,1
1504742676,247,219
1504743616,255,211
1504744333,3,4
1504744605,190,1972
1504745532,243,124
1504746261,2,6
1504746515,320,174
1504747459,244,271
1504748180,57,8
1504748413,192,266
1504749394,299,195
1504750098,4,1
1504750335,211,181
1504751302,259,172
1504751479,54,0
1504752264,244,202
1504753232,220,224
1504753948,5,11
1504754171,215,156
1504755155,191,134
1504755854,45,2
1504756101,211,236
1504757065,243,276
1504757769,7,0
1504758034,221,260
1504758983,189,119
1504759699,8,4
1504759933,206,145
1504760909,187,171
1504761620,7,1
1504761854,243,222
1504762835,261,213
1504763526,5,6
1504763786,171,137
1504764744,242,160
1504765712,188,147
1504765879,81,0
1504766670,230,223
1504767377,11,7
1504767619,239,242
1504768590,190,194
1504769294,8,1
1504769547,168,98
1504770496,370,228
1504771241,5,4
1504771473,242,238
1504772417,155,247
1504773130,8,0
1504773386,234,64
1504774348,246,222
1504775314,193,208
1504776351,206,216
1504776971,87,3
